Name           Length 
RF1_VIBVU      362    
RF1_DEIRA      375    
RF1_ECO8A      360    
RF1_MYCPU      359    
RF1_SYNR3      364    
RF1_RHOPA      361    
RF1_CHLL2      357    
RF1_ALTMD      361    
RF1_PICTO      410    
RF1_DESPS      357    
RF1_SERP5      361    
RF1_LACPL      360    
RF1_DEHMC      355    
RF1_RICAH      355    
RF1_ARCFU      407    
RF1_SOLUE      362    
RF1_POLNA      373    
RF1_RICPU      355    
RF1_CHLTA      359    
RF1_BURP0      360    
RF1_PARL1      355    
RF1_RICTY      355    
RF1_MYCCT      363    
RF1_BACSU      356    
RF1_MYXXA      362    
RF1_STAAW      358    
RF1_UREPA      359    
RF1_ANAVT      366    
RF1_DICT6      367    
RF1_CHLL7      358    
RF1_ACISJ      367    
RF1_BORA1      360    
RF1_HALS3      416    
RF1_DESDA      356    
RF1_HALWD      416    
RF1_BEII9      358    
RF1_PARUW      359    
RF1_PROMA      365    
RF1_MARMM      357    
RF1_UREU1      359    
RF1_THEYD      353    
RF1_CLOK5      357    
RF1_STRR6      359    
RF1_LAWIP      359    
RF1_STRGG      358    
RF1_PSEHT      361    
RF1_STRP1      359    
RF1_OCEIH      356    
RF1_ESCF3      360    
RF1_DEHM1      355    
RF1_BORBP      357    
RF1_RHOP5      359    
RF1_ALIF1      362    
RF1_HYPNA      352    
RF1_DEIDV      366    
RF1_NITSB      354    
RF1_ACIB5      362    
RF1_LARHH      359    
RF1_RHOS5      351    
RF1_VESOH      361    
RF1_MYCVP      357    
RF1_STAAT      358    
RF1_DESHD      355    
RF1_LACBA      361    
RF1_STRGC      359    
RF1_MARMS      362    
RF1_LACP3      359    
RF1_CORA7      358    
RF1_LACLM      357    
RF1_MESFL      363    
RF1_DESOH      356    
RF1_CHLTE      357    
RF1_ECOHS      360    
RF1_YERPE      360    
RF1_WIGBR      364    
RF1_LYSSC      358    
RF1_MYCLB      361    
RF1_RHOPT      361    
RF1_CUPNJ      360    
